[2026-03-08T03:30:01.899+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T03:20:00+00:00 [queued]>
[2026-03-08T03:30:01.922+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T03:20:00+00:00 [queued]>
[2026-03-08T03:30:01.922+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 3
[2026-03-08T03:30:01.952+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): backfill_existing_data> on 2026-03-08 03:20:00+00:00
[2026-03-08T03:30:01.966+0000] {standard_task_runner.py:57} INFO - Started process 3108 to run task
[2026-03-08T03:30:01.978+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'embedding_sync_dag', 'backfill_existing_data', 'scheduled__2026-03-08T03:20:00+00:00', '--job-id', '2157', '--raw', '--subdir', 'DAGS_FOLDER/embedding_sync_dag.py', '--cfg-path', '/tmp/tmp6rmjvuwa']
[2026-03-08T03:30:01.987+0000] {standard_task_runner.py:85} INFO - Job 2157: Subtask backfill_existing_data
[2026-03-08T03:30:02.215+0000] {task_command.py:415} INFO - Running <TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T03:20:00+00:00 [running]> on host 98946f05c164
[2026-03-08T03:30:02.507+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lakehouse' AIRFLOW_CTX_DAG_ID='embedding_sync_dag' AIRFLOW_CTX_TASK_ID='backfill_existing_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-08T03:20:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-08T03:20:00+00:00'
[2026-03-08T03:30:04.810+0000] {embedding_pipeline.py:192} INFO - [embed] Backfilling 106 tables...
[2026-03-08T03:30:04.839+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 20 rows from data_2025_review_thoughtworks_employee_privacy_notice_page15_ta
[2026-03-08T03:30:04.850+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page16_ta
[2026-03-08T03:30:04.859+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page17_ta
[2026-03-08T03:30:04.868+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page18_ta
[2026-03-08T03:30:04.878+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 27 rows from data_2025_review_thoughtworks_employee_privacy_notice_page19_ta
[2026-03-08T03:30:04.887+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page20_ta
[2026-03-08T03:30:04.897+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 26 rows from data_2025_review_thoughtworks_employee_privacy_notice_page21_ta
[2026-03-08T03:30:04.906+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 34 rows from data_2025_review_thoughtworks_employee_privacy_notice_page22_ta
[2026-03-08T03:30:04.915+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 11 rows from data_2025_review_thoughtworks_employee_privacy_notice_page23_ta
