[2026-03-08T07:10:09.801+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T07:05:00+00:00 [queued]>
[2026-03-08T07:10:09.830+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T07:05:00+00:00 [queued]>
[2026-03-08T07:10:09.831+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 3
[2026-03-08T07:10:09.869+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): backfill_existing_data> on 2026-03-08 07:05:00+00:00
[2026-03-08T07:10:09.894+0000] {standard_task_runner.py:57} INFO - Started process 10542 to run task
[2026-03-08T07:10:09.910+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'embedding_sync_dag', 'backfill_existing_data', 'scheduled__2026-03-08T07:05:00+00:00', '--job-id', '2169', '--raw', '--subdir', 'DAGS_FOLDER/embedding_sync_dag.py', '--cfg-path', '/tmp/tmpcwymc6jt']
[2026-03-08T07:10:09.920+0000] {standard_task_runner.py:85} INFO - Job 2169: Subtask backfill_existing_data
[2026-03-08T07:10:10.169+0000] {task_command.py:415} INFO - Running <TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T07:05:00+00:00 [running]> on host 98946f05c164
[2026-03-08T07:10:10.527+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lakehouse' AIRFLOW_CTX_DAG_ID='embedding_sync_dag' AIRFLOW_CTX_TASK_ID='backfill_existing_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-08T07:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-08T07:05:00+00:00'
[2026-03-08T07:10:13.890+0000] {embedding_pipeline.py:192} INFO - [embed] Backfilling 106 tables...
[2026-03-08T07:10:13.925+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 20 rows from data_2025_review_thoughtworks_employee_privacy_notice_page15_ta
[2026-03-08T07:10:13.939+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page16_ta
[2026-03-08T07:10:13.953+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page17_ta
[2026-03-08T07:10:13.967+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page18_ta
[2026-03-08T07:10:13.980+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 27 rows from data_2025_review_thoughtworks_employee_privacy_notice_page19_ta
[2026-03-08T07:10:13.995+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page20_ta
[2026-03-08T07:10:14.008+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 26 rows from data_2025_review_thoughtworks_employee_privacy_notice_page21_ta
[2026-03-08T07:10:14.021+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 34 rows from data_2025_review_thoughtworks_employee_privacy_notice_page22_ta
[2026-03-08T07:10:14.032+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 11 rows from data_2025_review_thoughtworks_employee_privacy_notice_page23_ta
[2026-03-08T07:10:14.046+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page24_ta
[2026-03-08T07:10:14.059+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page25_ta
[2026-03-08T07:10:14.070+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 23 rows from data_2025_review_thoughtworks_employee_privacy_notice_page26_ta
[2026-03-08T07:10:14.081+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 10 rows from data_2025_review_thoughtworks_employee_privacy_notice_page27_ta
[2026-03-08T07:10:14.092+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page28_ta
[2026-03-08T07:10:14.103+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page29_ta
[2026-03-08T07:10:14.114+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 28 rows from data_2025_review_thoughtworks_employee_privacy_notice_page30_ta
[2026-03-08T07:10:14.124+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page31_ta
[2026-03-08T07:10:14.136+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 16 rows from data_2025_review_thoughtworks_employee_privacy_notice_page32_ta
[2026-03-08T07:10:14.145+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 1 rows from data_2025_review_thoughtworks_employee_privacy_notice_page33_ta
[2026-03-08T07:10:14.155+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_2025_review_thoughtworks_employee_privacy_notice_page34_ta
[2026-03-08T07:10:14.165+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page35_ta
[2026-03-08T07:10:14.174+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page36_ta
[2026-03-08T07:10:14.182+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page37_ta
[2026-03-08T07:10:14.191+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 6 rows from data_8051_features_architecture_page3_table1
[2026-03-08T07:10:14.200+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_customers
[2026-03-08T07:10:14.209+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc10_research_data_page2_table1
[2026-03-08T07:10:14.218+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc10_research_data_page2_table2
[2026-03-08T07:10:14.227+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_data_page3_table1
[2026-03-08T07:10:14.236+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_1
[2026-03-08T07:10:14.245+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_2
[2026-03-08T07:10:14.254+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_3
