[2026-03-08T14:02:17.559+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T13:55:00+00:00 [queued]>
[2026-03-08T14:02:17.581+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T13:55:00+00:00 [queued]>
[2026-03-08T14:02:17.582+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 3
[2026-03-08T14:02:17.631+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): backfill_existing_data> on 2026-03-08 13:55:00+00:00
[2026-03-08T14:02:17.654+0000] {standard_task_runner.py:57} INFO - Started process 4432 to run task
[2026-03-08T14:02:17.668+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'embedding_sync_dag', 'backfill_existing_data', 'scheduled__2026-03-08T13:55:00+00:00', '--job-id', '2240', '--raw', '--subdir', 'DAGS_FOLDER/embedding_sync_dag.py', '--cfg-path', '/tmp/tmprownj1ch']
[2026-03-08T14:02:17.677+0000] {standard_task_runner.py:85} INFO - Job 2240: Subtask backfill_existing_data
[2026-03-08T14:02:17.871+0000] {task_command.py:415} INFO - Running <TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T13:55:00+00:00 [running]> on host 78f9a73a02d7
[2026-03-08T14:02:18.207+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lakehouse' AIRFLOW_CTX_DAG_ID='embedding_sync_dag' AIRFLOW_CTX_TASK_ID='backfill_existing_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-08T13:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-08T13:55:00+00:00'
[2026-03-08T14:02:20.440+0000] {embedding_pipeline.py:220} INFO - [embed] Backfill needed — source~3076, fully embedded=0, gap~3076
[2026-03-08T14:02:20.446+0000] {embedding_pipeline.py:238} INFO - [embed] Scanning 106 tables for unembedded rows...
[2026-03-08T14:02:20.468+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 20 rows from data_2025_review_thoughtworks_employee_privacy_notice_page15_ta
[2026-03-08T14:02:20.479+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page16_ta
[2026-03-08T14:02:20.490+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page17_ta
[2026-03-08T14:02:20.499+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page18_ta
[2026-03-08T14:02:20.508+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 27 rows from data_2025_review_thoughtworks_employee_privacy_notice_page19_ta
[2026-03-08T14:02:20.517+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page20_ta
[2026-03-08T14:02:20.529+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 26 rows from data_2025_review_thoughtworks_employee_privacy_notice_page21_ta
[2026-03-08T14:02:20.538+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 34 rows from data_2025_review_thoughtworks_employee_privacy_notice_page22_ta
[2026-03-08T14:02:20.547+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 11 rows from data_2025_review_thoughtworks_employee_privacy_notice_page23_ta
[2026-03-08T14:02:20.556+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page24_ta
[2026-03-08T14:02:20.565+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page25_ta
