[2026-03-19T22:49:47.374+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-19T22:40:00+00:00 [queued]>
[2026-03-19T22:49:47.398+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-19T22:40:00+00:00 [queued]>
[2026-03-19T22:49:47.399+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 3
[2026-03-19T22:49:47.433+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): backfill_existing_data> on 2026-03-19 22:40:00+00:00
[2026-03-19T22:49:47.447+0000] {standard_task_runner.py:57} INFO - Started process 760 to run task
[2026-03-19T22:49:47.464+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'embedding_sync_dag', 'backfill_existing_data', 'scheduled__2026-03-19T22:40:00+00:00', '--job-id', '2400', '--raw', '--subdir', 'DAGS_FOLDER/embedding_sync_dag.py', '--cfg-path', '/tmp/tmpf76jvdgr']
[2026-03-19T22:49:47.473+0000] {standard_task_runner.py:85} INFO - Job 2400: Subtask backfill_existing_data
[2026-03-19T22:49:47.679+0000] {task_command.py:415} INFO - Running <TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-19T22:40:00+00:00 [running]> on host 76de17b6f6da
[2026-03-19T22:49:47.999+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lakehouse' AIRFLOW_CTX_DAG_ID='embedding_sync_dag' AIRFLOW_CTX_TASK_ID='backfill_existing_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-19T22:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-19T22:40:00+00:00'
[2026-03-19T22:49:50.420+0000] {embedding_pipeline.py:430} INFO - [embed] Backfill needed — source~3084, fully embedded=0, gap~3084
[2026-03-19T22:49:50.426+0000] {embedding_pipeline.py:448} INFO - [embed] Scanning 106 tables for unembedded rows...
[2026-03-19T22:49:50.451+0000] {embedding_pipeline.py:492} INFO - [embed] Queued 20 rows from data_2025_review_thoughtworks_employee_privacy_notice_page15_ta
[2026-03-19T22:49:50.462+0000] {embedding_pipeline.py:492} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page16_ta
