[2026-03-08T01:29:56.489+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-05T00:40:00+00:00 [queued]>
[2026-03-08T01:29:56.512+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-05T00:40:00+00:00 [queued]>
[2026-03-08T01:29:56.513+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 3
[2026-03-08T01:29:56.547+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): backfill_existing_data> on 2026-03-05 00:40:00+00:00
[2026-03-08T01:29:56.561+0000] {standard_task_runner.py:57} INFO - Started process 318 to run task
[2026-03-08T01:29:56.571+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'embedding_sync_dag', 'backfill_existing_data', 'scheduled__2026-03-05T00:40:00+00:00', '--job-id', '2149', '--raw', '--subdir', 'DAGS_FOLDER/embedding_sync_dag.py', '--cfg-path', '/tmp/tmpz0rag4kh']
[2026-03-08T01:29:56.580+0000] {standard_task_runner.py:85} INFO - Job 2149: Subtask backfill_existing_data
[2026-03-08T01:29:56.759+0000] {task_command.py:415} INFO - Running <TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-05T00:40:00+00:00 [running]> on host 98946f05c164
[2026-03-08T01:29:57.050+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lakehouse' AIRFLOW_CTX_DAG_ID='embedding_sync_dag' AIRFLOW_CTX_TASK_ID='backfill_existing_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-05T00:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-05T00:40:00+00:00'
[2026-03-08T01:29:59.702+0000] {embedding_pipeline.py:220} INFO - [embed] Backfilling 106 tables...
[2026-03-08T01:29:59.755+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 20 rows from data_2025_review_thoughtworks_employee_privacy_notice_page15_ta
[2026-03-08T01:29:59.768+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page16_ta
[2026-03-08T01:29:59.777+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page17_ta
[2026-03-08T01:29:59.786+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page18_ta
[2026-03-08T01:29:59.796+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 27 rows from data_2025_review_thoughtworks_employee_privacy_notice_page19_ta
[2026-03-08T01:29:59.805+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page20_ta
[2026-03-08T01:29:59.817+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 26 rows from data_2025_review_thoughtworks_employee_privacy_notice_page21_ta
[2026-03-08T01:29:59.828+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 34 rows from data_2025_review_thoughtworks_employee_privacy_notice_page22_ta
[2026-03-08T01:29:59.839+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 11 rows from data_2025_review_thoughtworks_employee_privacy_notice_page23_ta
[2026-03-08T01:29:59.850+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page24_ta
[2026-03-08T01:29:59.861+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page25_ta
[2026-03-08T01:29:59.872+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 23 rows from data_2025_review_thoughtworks_employee_privacy_notice_page26_ta
[2026-03-08T01:29:59.883+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 10 rows from data_2025_review_thoughtworks_employee_privacy_notice_page27_ta
[2026-03-08T01:29:59.894+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page28_ta
[2026-03-08T01:29:59.906+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page29_ta
[2026-03-08T01:29:59.918+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 28 rows from data_2025_review_thoughtworks_employee_privacy_notice_page30_ta
[2026-03-08T01:29:59.929+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page31_ta
[2026-03-08T01:29:59.939+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 16 rows from data_2025_review_thoughtworks_employee_privacy_notice_page32_ta
[2026-03-08T01:29:59.950+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 1 rows from data_2025_review_thoughtworks_employee_privacy_notice_page33_ta
[2026-03-08T01:29:59.961+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 4 rows from data_2025_review_thoughtworks_employee_privacy_notice_page34_ta
[2026-03-08T01:29:59.971+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page35_ta
[2026-03-08T01:29:59.982+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page36_ta
[2026-03-08T01:29:59.993+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page37_ta
[2026-03-08T01:30:00.004+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 6 rows from data_8051_features_architecture_page3_table1
[2026-03-08T01:30:00.016+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 8 rows from data_customers
[2026-03-08T01:30:00.027+0000] {embedding_pipeline.py:270} INFO - [embed] Queued 5 rows from data_doc10_research_data_page2_table1
