[2026-03-08T11:09:46.543+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T11:00:00+00:00 [queued]>
[2026-03-08T11:09:46.564+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T11:00:00+00:00 [queued]>
[2026-03-08T11:09:46.565+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 3
[2026-03-08T11:09:46.596+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): backfill_existing_data> on 2026-03-08 11:00:00+00:00
[2026-03-08T11:09:46.610+0000] {standard_task_runner.py:57} INFO - Started process 6081 to run task
[2026-03-08T11:09:46.620+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'embedding_sync_dag', 'backfill_existing_data', 'scheduled__2026-03-08T11:00:00+00:00', '--job-id', '2179', '--raw', '--subdir', 'DAGS_FOLDER/embedding_sync_dag.py', '--cfg-path', '/tmp/tmpj4q13l0_']
[2026-03-08T11:09:46.628+0000] {standard_task_runner.py:85} INFO - Job 2179: Subtask backfill_existing_data
[2026-03-08T11:09:46.801+0000] {task_command.py:415} INFO - Running <TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T11:00:00+00:00 [running]> on host bc91ad4248c2
[2026-03-08T11:09:47.084+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lakehouse' AIRFLOW_CTX_DAG_ID='embedding_sync_dag' AIRFLOW_CTX_TASK_ID='backfill_existing_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-08T11:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-08T11:00:00+00:00'
[2026-03-08T11:09:49.297+0000] {embedding_pipeline.py:220} INFO - [embed] Backfill needed — source~3076, fully embedded=0, gap~3076
[2026-03-08T11:09:49.303+0000] {embedding_pipeline.py:238} INFO - [embed] Scanning 106 tables for unembedded rows...
[2026-03-08T11:09:49.324+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 20 rows from data_2025_review_thoughtworks_employee_privacy_notice_page15_ta
[2026-03-08T11:09:49.334+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page16_ta
[2026-03-08T11:09:49.343+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page17_ta
[2026-03-08T11:09:49.352+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page18_ta
[2026-03-08T11:09:49.361+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 27 rows from data_2025_review_thoughtworks_employee_privacy_notice_page19_ta
[2026-03-08T11:09:49.370+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page20_ta
[2026-03-08T11:09:49.379+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 26 rows from data_2025_review_thoughtworks_employee_privacy_notice_page21_ta
[2026-03-08T11:09:49.388+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 34 rows from data_2025_review_thoughtworks_employee_privacy_notice_page22_ta
[2026-03-08T11:09:49.396+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 11 rows from data_2025_review_thoughtworks_employee_privacy_notice_page23_ta
[2026-03-08T11:09:49.405+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page24_ta
[2026-03-08T11:09:49.414+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page25_ta
[2026-03-08T11:09:49.424+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 23 rows from data_2025_review_thoughtworks_employee_privacy_notice_page26_ta
[2026-03-08T11:09:49.433+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 10 rows from data_2025_review_thoughtworks_employee_privacy_notice_page27_ta
[2026-03-08T11:09:49.442+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page28_ta
[2026-03-08T11:09:49.451+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page29_ta
[2026-03-08T11:09:49.461+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 28 rows from data_2025_review_thoughtworks_employee_privacy_notice_page30_ta
[2026-03-08T11:09:49.470+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page31_ta
[2026-03-08T11:09:49.480+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 16 rows from data_2025_review_thoughtworks_employee_privacy_notice_page32_ta
[2026-03-08T11:09:49.488+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 1 rows from data_2025_review_thoughtworks_employee_privacy_notice_page33_ta
[2026-03-08T11:09:49.497+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_2025_review_thoughtworks_employee_privacy_notice_page34_ta
[2026-03-08T11:09:49.505+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page35_ta
[2026-03-08T11:09:49.513+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page36_ta
[2026-03-08T11:09:49.521+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page37_ta
[2026-03-08T11:09:49.529+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 6 rows from data_8051_features_architecture_page3_table1
[2026-03-08T11:09:49.538+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 8 rows from data_customers
[2026-03-08T11:09:49.546+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_doc10_research_data_page2_table1
[2026-03-08T11:09:49.555+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_doc10_research_data_page2_table2
[2026-03-08T11:09:49.563+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc10_research_data_page3_table1
[2026-03-08T11:09:49.571+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_1
