[2026-03-08T17:00:56.692+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T16:55:00+00:00 [queued]>
[2026-03-08T17:01:00.584+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc10_research_data_page3_table1
[2026-03-08T17:01:00.595+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_1
[2026-03-08T17:01:00.605+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_2
[2026-03-08T17:01:00.613+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_3
[2026-03-08T17:01:00.626+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc1111_table_1
[2026-03-08T17:01:00.642+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc1111_table_2
[2026-03-08T17:01:00.651+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc1111_table_3
[2026-03-08T17:01:00.661+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc1_sales_report_table_1
[2026-03-08T17:01:00.671+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc1_sales_report_table_2
[2026-03-08T17:01:00.681+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc1_sales_report_table_3
[2026-03-08T17:01:00.691+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_doc2_employee_directory_table_1
[2026-03-08T17:01:00.706+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc2_employee_directory_table_2
[2026-03-08T17:01:00.718+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc2_employee_directory_table_3
[2026-03-08T17:01:00.727+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc3_inventory_report_table_1
[2026-03-08T17:01:00.736+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc3_inventory_report_table_2
[2026-03-08T17:01:00.744+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc3_inventory_report_table_3
[2026-03-08T17:01:00.753+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc4_financial_statement_table_1
[2026-03-08T17:01:00.763+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc4_financial_statement_table_2
[2026-03-08T17:01:00.772+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc4_financial_statement_table_3
[2026-03-08T17:01:00.781+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc5_project_status_table_1
[2026-03-08T17:01:00.790+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc5_project_status_table_2
[2026-03-08T17:01:00.799+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc5_project_status_table_3
[2026-03-08T17:01:00.808+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc6_customer_analysis_table_1
[2026-03-08T17:01:00.817+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc6_customer_analysis_table_2
[2026-03-08T17:01:00.826+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc6_customer_analysis_table_3
[2026-03-08T17:01:00.835+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc7_marketing_metricsss_table_1
[2026-03-08T17:01:00.843+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc7_marketing_metricsss_table_3
[2026-03-08T17:01:00.852+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_doc8_it_assets_page2_table1
[2026-03-08T17:01:00.861+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_doc8_it_assets_page2_table2
[2026-03-08T17:01:00.869+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_doc8_it_assets_page3_table1
[2026-03-08T17:01:00.878+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_doc9_quality_assurance_page2_table1
[2026-03-08T17:01:00.886+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc9_quality_assurance_page2_table2
[2026-03-08T17:01:00.895+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_doc9_quality_assurance_page3_table1
[2026-03-08T17:01:00.909+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc9_quality_assuranceeee_table_1
[2026-03-08T17:01:00.918+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc9_quality_assuranceeee_table_2
[2026-03-08T17:01:00.928+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_doc9_quality_assuranceeee_table_3
[2026-03-08T17:01:00.937+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 8 rows from data_movies
[2026-03-08T17:01:00.945+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_nimish_research1_1_page3_table1
[2026-03-08T17:01:00.955+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_nimish_research3_page4_table1
[2026-03-08T17:01:00.964+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 8 rows from data_nimish_research3_page7_table1
[2026-03-08T17:01:00.974+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_nitin_gavhane_resume_table_1
[2026-03-08T17:01:01.036+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 1000 rows from data_organizations_1000
[2026-03-08T17:01:01.093+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 1000 rows from data_people_1000
[2026-03-08T17:01:01.103+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 8 rows from data_products
[2026-03-08T17:01:01.113+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 8 rows from data_sales
[2026-03-08T17:01:01.121+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 3 rows from data_sample_tables_page10_table1
[2026-03-08T17:01:01.130+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 12 rows from data_sample_tables_page10_table2
[2026-03-08T17:01:01.143+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 12 rows from data_sample_tables_page11_table1
[2026-03-08T17:01:01.152+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 2 rows from data_sample_tables_page1_table1
[2026-03-08T17:01:01.161+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 7 rows from data_sample_tables_page1_table2
[2026-03-08T17:01:01.171+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_sample_tables_page1_table3
[2026-03-08T17:01:01.180+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 6 rows from data_sample_tables_page2_table1
[2026-03-08T17:01:01.192+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 8 rows from data_sample_tables_page2_table2
[2026-03-08T17:01:01.205+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 8 rows from data_sample_tables_page2_table3
[2026-03-08T17:01:01.217+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 3 rows from data_sample_tables_page3_table1
[2026-03-08T17:01:01.227+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 3 rows from data_sample_tables_page3_table2
[2026-03-08T17:01:01.236+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 3 rows from data_sample_tables_page3_table3
[2026-03-08T17:01:01.245+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 13 rows from data_sample_tables_page4_table1
[2026-03-08T17:01:01.255+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 11 rows from data_sample_tables_page4_table2
[2026-03-08T17:01:01.264+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_sample_tables_page5_table1
[2026-03-08T17:01:01.272+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 3 rows from data_sample_tables_page5_table2
[2026-03-08T17:01:01.281+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 3 rows from data_sample_tables_page5_table3
[2026-03-08T17:01:01.290+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 6 rows from data_sample_tables_page5_table4
[2026-03-08T17:01:01.299+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 6 rows from data_sample_tables_page6_table1
[2026-03-08T17:01:01.308+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 10 rows from data_sample_tables_page6_table2
[2026-03-08T17:01:01.318+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 10 rows from data_sample_tables_page6_table3
[2026-03-08T17:01:01.327+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 5 rows from data_sample_tables_page7_table1
[2026-03-08T17:01:01.335+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 7 rows from data_sample_tables_page7_table2
[2026-03-08T17:01:01.344+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 7 rows from data_sample_tables_page8_table1
[2026-03-08T17:01:01.354+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 7 rows from data_sample_tables_page8_table2
[2026-03-08T17:01:01.362+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 3 rows from data_sample_tables_page8_table3
[2026-03-08T17:01:01.373+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 12 rows from data_sample_tables_page9_table1
[2026-03-08T17:01:01.383+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_sample_tables_page9_table2
[2026-03-08T17:01:01.391+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 6 rows from data_sample_tables_page9_table3
[2026-03-08T17:01:01.400+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 8 rows from data_social_media
[2026-03-08T17:01:01.447+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 1000 rows from data_studentsperformance
[2026-03-08T17:01:01.466+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 123 rows from minio_data_catalog
[2026-03-08T17:01:01.534+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 103 rows from unstructured_documents
[2026-03-08T17:01:01.545+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 19 rows from unstructured_images
[2026-03-08T17:01:01.554+0000] {embedding_pipeline.py:291} INFO - [embed] Backfill complete — 4132 rows queued
[2026-03-08T17:01:01.615+0000] {python.py:194} INFO - Done. Returned value was: 4132
[2026-03-08T17:01:01.703+0000] {taskinstance.py:1398} INFO - Marking task as SUCCESS. dag_id=embedding_sync_dag, task_id=backfill_existing_data, execution_date=20260308T165500, start_date=20260308T170056, end_date=20260308T170101
[2026-03-08T17:01:01.774+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2026-03-08T17:01:01.885+0000] {taskinstance.py:2776} INFO - 0 downstream tasks scheduled from follow-on schedule check
