[2026-03-08T15:29:29.062+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T15:20:00+00:00 [queued]>
[2026-03-08T15:29:29.086+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T15:20:00+00:00 [queued]>
[2026-03-08T15:29:29.087+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 3
[2026-03-08T15:29:29.123+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): backfill_existing_data> on 2026-03-08 15:20:00+00:00
[2026-03-08T15:29:29.147+0000] {standard_task_runner.py:57} INFO - Started process 249 to run task
[2026-03-08T15:29:29.158+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'embedding_sync_dag', 'backfill_existing_data', 'scheduled__2026-03-08T15:20:00+00:00', '--job-id', '2278', '--raw', '--subdir', 'DAGS_FOLDER/embedding_sync_dag.py', '--cfg-path', '/tmp/tmp2gb2b0xm']
[2026-03-08T15:29:29.168+0000] {standard_task_runner.py:85} INFO - Job 2278: Subtask backfill_existing_data
[2026-03-08T15:29:29.406+0000] {task_command.py:415} INFO - Running <TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T15:20:00+00:00 [running]> on host 78f9a73a02d7
[2026-03-08T15:29:29.779+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lakehouse' AIRFLOW_CTX_DAG_ID='embedding_sync_dag' AIRFLOW_CTX_TASK_ID='backfill_existing_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-08T15:20:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-08T15:20:00+00:00'
[2026-03-08T15:29:32.384+0000] {embedding_pipeline.py:220} INFO - [embed] Backfill needed — source~3076, fully embedded=0, gap~3076
[2026-03-08T15:29:32.390+0000] {embedding_pipeline.py:238} INFO - [embed] Scanning 106 tables for unembedded rows...
[2026-03-08T15:29:32.414+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 20 rows from data_2025_review_thoughtworks_employee_privacy_notice_page15_ta
[2026-03-08T15:29:32.426+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page16_ta
[2026-03-08T15:29:32.436+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page17_ta
[2026-03-08T15:29:32.445+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page18_ta
[2026-03-08T15:29:32.458+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 27 rows from data_2025_review_thoughtworks_employee_privacy_notice_page19_ta
[2026-03-08T15:29:32.469+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page20_ta
[2026-03-08T15:29:32.479+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 26 rows from data_2025_review_thoughtworks_employee_privacy_notice_page21_ta
[2026-03-08T15:29:32.489+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 34 rows from data_2025_review_thoughtworks_employee_privacy_notice_page22_ta
[2026-03-08T15:29:32.498+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 11 rows from data_2025_review_thoughtworks_employee_privacy_notice_page23_ta
[2026-03-08T15:29:32.508+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page24_ta
[2026-03-08T15:29:32.518+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page25_ta
[2026-03-08T15:29:32.527+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 23 rows from data_2025_review_thoughtworks_employee_privacy_notice_page26_ta
[2026-03-08T15:29:32.537+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 10 rows from data_2025_review_thoughtworks_employee_privacy_notice_page27_ta
[2026-03-08T15:29:32.546+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page28_ta
[2026-03-08T15:29:32.555+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page29_ta
[2026-03-08T15:29:32.564+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 28 rows from data_2025_review_thoughtworks_employee_privacy_notice_page30_ta
[2026-03-08T15:29:32.573+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page31_ta
[2026-03-08T15:29:32.581+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 16 rows from data_2025_review_thoughtworks_employee_privacy_notice_page32_ta
[2026-03-08T15:29:32.590+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 1 rows from data_2025_review_thoughtworks_employee_privacy_notice_page33_ta
[2026-03-08T15:29:32.599+0000] {embedding_pipeline.py:282} INFO - [embed] Queued 4 rows from data_2025_review_thoughtworks_employee_privacy_notice_page34_ta
