[2026-03-08T06:11:03.066+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T06:05:00+00:00 [queued]>
[2026-03-08T06:11:03.091+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T06:05:00+00:00 [queued]>
[2026-03-08T06:11:03.092+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 3
[2026-03-08T06:11:06.238+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 26 rows from data_2025_review_thoughtworks_employee_privacy_notice_page21_ta
[2026-03-08T06:11:06.249+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 34 rows from data_2025_review_thoughtworks_employee_privacy_notice_page22_ta
[2026-03-08T06:11:06.259+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 11 rows from data_2025_review_thoughtworks_employee_privacy_notice_page23_ta
[2026-03-08T06:11:06.273+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page24_ta
[2026-03-08T06:11:06.282+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page25_ta
[2026-03-08T06:11:06.294+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 23 rows from data_2025_review_thoughtworks_employee_privacy_notice_page26_ta
[2026-03-08T06:11:06.305+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 10 rows from data_2025_review_thoughtworks_employee_privacy_notice_page27_ta
[2026-03-08T06:11:06.317+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page28_ta
[2026-03-08T06:11:06.327+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page29_ta
[2026-03-08T06:11:06.337+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 28 rows from data_2025_review_thoughtworks_employee_privacy_notice_page30_ta
[2026-03-08T06:11:06.347+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page31_ta
[2026-03-08T06:11:06.356+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 16 rows from data_2025_review_thoughtworks_employee_privacy_notice_page32_ta
[2026-03-08T06:11:06.365+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 1 rows from data_2025_review_thoughtworks_employee_privacy_notice_page33_ta
[2026-03-08T06:11:06.375+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_2025_review_thoughtworks_employee_privacy_notice_page34_ta
[2026-03-08T06:11:06.384+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page35_ta
[2026-03-08T06:11:06.393+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page36_ta
[2026-03-08T06:11:06.404+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page37_ta
[2026-03-08T06:11:06.413+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 6 rows from data_8051_features_architecture_page3_table1
[2026-03-08T06:11:06.422+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_customers
[2026-03-08T06:11:06.431+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc10_research_data_page2_table1
[2026-03-08T06:11:06.440+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc10_research_data_page2_table2
[2026-03-08T06:11:06.450+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_data_page3_table1
[2026-03-08T06:11:06.460+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_1
[2026-03-08T06:11:06.469+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_2
[2026-03-08T06:11:06.478+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_3
[2026-03-08T06:11:06.489+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1111_table_1
[2026-03-08T06:11:06.499+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1111_table_2
[2026-03-08T06:11:06.511+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1111_table_3
[2026-03-08T06:11:06.521+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1_sales_report_table_1
[2026-03-08T06:11:06.530+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1_sales_report_table_2
[2026-03-08T06:11:06.541+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1_sales_report_table_3
[2026-03-08T06:11:06.550+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc2_employee_directory_table_1
[2026-03-08T06:11:06.559+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc2_employee_directory_table_2
[2026-03-08T06:11:06.569+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc2_employee_directory_table_3
[2026-03-08T06:11:06.578+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc3_inventory_report_table_1
[2026-03-08T06:11:06.588+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc3_inventory_report_table_2
[2026-03-08T06:11:06.597+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc3_inventory_report_table_3
[2026-03-08T06:11:06.606+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc4_financial_statement_table_1
[2026-03-08T06:11:06.615+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc4_financial_statement_table_2
[2026-03-08T06:11:06.623+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc4_financial_statement_table_3
[2026-03-08T06:11:06.633+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc5_project_status_table_1
[2026-03-08T06:11:06.641+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc5_project_status_table_2
[2026-03-08T06:11:06.650+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc5_project_status_table_3
[2026-03-08T06:11:06.659+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc6_customer_analysis_table_1
[2026-03-08T06:11:06.669+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc6_customer_analysis_table_2
[2026-03-08T06:11:06.677+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc6_customer_analysis_table_3
[2026-03-08T06:11:06.686+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc7_marketing_metricsss_table_1
[2026-03-08T06:11:06.695+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc7_marketing_metricsss_table_3
[2026-03-08T06:11:06.703+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc8_it_assets_page2_table1
[2026-03-08T06:11:06.712+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc8_it_assets_page2_table2
[2026-03-08T06:11:06.720+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc8_it_assets_page3_table1
[2026-03-08T06:11:06.729+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc9_quality_assurance_page2_table1
[2026-03-08T06:11:06.738+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc9_quality_assurance_page2_table2
[2026-03-08T06:11:06.746+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc9_quality_assurance_page3_table1
[2026-03-08T06:11:06.754+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc9_quality_assuranceeee_table_1
[2026-03-08T06:11:06.763+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc9_quality_assuranceeee_table_2
[2026-03-08T06:11:06.771+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc9_quality_assuranceeee_table_3
[2026-03-08T06:11:06.780+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_movies
[2026-03-08T06:11:06.789+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_nimish_research1_1_page3_table1
[2026-03-08T06:11:06.798+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_nimish_research3_page4_table1
[2026-03-08T06:11:06.806+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_nimish_research3_page7_table1
[2026-03-08T06:11:06.815+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_nitin_gavhane_resume_table_1
[2026-03-08T06:11:06.865+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 1000 rows from data_organizations_1000
[2026-03-08T06:11:06.913+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 1000 rows from data_people_1000
[2026-03-08T06:11:06.922+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_products
[2026-03-08T06:11:06.931+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_sales
[2026-03-08T06:11:06.939+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 3 rows from data_sample_tables_page10_table1
[2026-03-08T06:11:06.948+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 12 rows from data_sample_tables_page10_table2
[2026-03-08T06:11:06.957+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 12 rows from data_sample_tables_page11_table1
[2026-03-08T06:11:06.965+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 2 rows from data_sample_tables_page1_table1
[2026-03-08T06:11:06.974+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 7 rows from data_sample_tables_page1_table2
[2026-03-08T06:11:06.982+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_sample_tables_page1_table3
[2026-03-08T06:11:06.991+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 6 rows from data_sample_tables_page2_table1
[2026-03-08T06:11:07.000+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_sample_tables_page2_table2
[2026-03-08T06:11:07.009+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_sample_tables_page2_table3
[2026-03-08T06:11:07.017+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 3 rows from data_sample_tables_page3_table1
[2026-03-08T06:11:07.026+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 3 rows from data_sample_tables_page3_table2
[2026-03-08T06:11:07.034+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 3 rows from data_sample_tables_page3_table3
[2026-03-08T06:11:07.043+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 13 rows from data_sample_tables_page4_table1
[2026-03-08T06:11:07.052+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 11 rows from data_sample_tables_page4_table2
[2026-03-08T06:11:07.061+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_sample_tables_page5_table1
[2026-03-08T06:11:07.069+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 3 rows from data_sample_tables_page5_table2
[2026-03-08T06:11:07.078+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 3 rows from data_sample_tables_page5_table3
[2026-03-08T06:11:07.087+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 6 rows from data_sample_tables_page5_table4
[2026-03-08T06:11:07.096+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 6 rows from data_sample_tables_page6_table1
[2026-03-08T06:11:07.104+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 10 rows from data_sample_tables_page6_table2
[2026-03-08T06:11:07.113+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 10 rows from data_sample_tables_page6_table3
[2026-03-08T06:11:07.121+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_sample_tables_page7_table1
[2026-03-08T06:11:07.130+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 7 rows from data_sample_tables_page7_table2
[2026-03-08T06:11:07.138+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 7 rows from data_sample_tables_page8_table1
[2026-03-08T06:11:07.147+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 7 rows from data_sample_tables_page8_table2
[2026-03-08T06:11:07.156+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 3 rows from data_sample_tables_page8_table3
[2026-03-08T06:11:07.165+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 12 rows from data_sample_tables_page9_table1
[2026-03-08T06:11:07.173+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_sample_tables_page9_table2
[2026-03-08T06:11:07.181+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 6 rows from data_sample_tables_page9_table3
[2026-03-08T06:11:07.191+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_social_media
[2026-03-08T06:11:07.236+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 1000 rows from data_studentsperformance
[2026-03-08T06:11:07.251+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 118 rows from minio_data_catalog
[2026-03-08T06:11:07.298+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 103 rows from unstructured_documents
[2026-03-08T06:11:07.308+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 14 rows from unstructured_images
[2026-03-08T06:11:07.315+0000] {embedding_pipeline.py:245} INFO - [embed] Backfill complete — 4122 rows queued
[2026-03-08T06:11:07.368+0000] {python.py:194} INFO - Done. Returned value was: 4122
[2026-03-08T06:11:07.463+0000] {taskinstance.py:1398} INFO - Marking task as SUCCESS. dag_id=embedding_sync_dag, task_id=backfill_existing_data, execution_date=20260308T060500, start_date=20260308T061103, end_date=20260308T061107
[2026-03-08T06:11:07.543+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2026-03-08T06:11:07.637+0000] {taskinstance.py:2776} INFO - 1 downstream tasks scheduled from follow-on schedule check
