[2026-03-08T04:38:50.545+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T04:30:00+00:00 [queued]>
[2026-03-08T04:38:50.569+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T04:30:00+00:00 [queued]>
[2026-03-08T04:38:50.570+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 3
[2026-03-08T04:38:50.615+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): backfill_existing_data> on 2026-03-08 04:30:00+00:00
[2026-03-08T04:38:50.641+0000] {standard_task_runner.py:57} INFO - Started process 5443 to run task
[2026-03-08T04:38:50.654+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'embedding_sync_dag', 'backfill_existing_data', 'scheduled__2026-03-08T04:30:00+00:00', '--job-id', '2160', '--raw', '--subdir', 'DAGS_FOLDER/embedding_sync_dag.py', '--cfg-path', '/tmp/tmp40d91h4d']
[2026-03-08T04:38:50.664+0000] {standard_task_runner.py:85} INFO - Job 2160: Subtask backfill_existing_data
[2026-03-08T04:38:50.917+0000] {task_command.py:415} INFO - Running <TaskInstance: embedding_sync_dag.backfill_existing_data scheduled__2026-03-08T04:30:00+00:00 [running]> on host 98946f05c164
[2026-03-08T04:38:51.276+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lakehouse' AIRFLOW_CTX_DAG_ID='embedding_sync_dag' AIRFLOW_CTX_TASK_ID='backfill_existing_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-08T04:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-08T04:30:00+00:00'
[2026-03-08T04:38:55.097+0000] {embedding_pipeline.py:192} INFO - [embed] Backfilling 106 tables...
[2026-03-08T04:38:55.126+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 20 rows from data_2025_review_thoughtworks_employee_privacy_notice_page15_ta
[2026-03-08T04:38:55.138+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page16_ta
[2026-03-08T04:38:55.149+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page17_ta
[2026-03-08T04:38:55.160+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page18_ta
[2026-03-08T04:38:55.171+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 27 rows from data_2025_review_thoughtworks_employee_privacy_notice_page19_ta
[2026-03-08T04:38:55.183+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page20_ta
[2026-03-08T04:38:55.207+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 26 rows from data_2025_review_thoughtworks_employee_privacy_notice_page21_ta
[2026-03-08T04:38:55.218+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 34 rows from data_2025_review_thoughtworks_employee_privacy_notice_page22_ta
[2026-03-08T04:38:55.230+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 11 rows from data_2025_review_thoughtworks_employee_privacy_notice_page23_ta
[2026-03-08T04:38:55.240+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 30 rows from data_2025_review_thoughtworks_employee_privacy_notice_page24_ta
[2026-03-08T04:38:55.250+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page25_ta
[2026-03-08T04:38:55.260+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 23 rows from data_2025_review_thoughtworks_employee_privacy_notice_page26_ta
[2026-03-08T04:38:55.270+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 10 rows from data_2025_review_thoughtworks_employee_privacy_notice_page27_ta
[2026-03-08T04:38:55.285+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 31 rows from data_2025_review_thoughtworks_employee_privacy_notice_page28_ta
[2026-03-08T04:38:55.296+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 29 rows from data_2025_review_thoughtworks_employee_privacy_notice_page29_ta
[2026-03-08T04:38:55.306+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 28 rows from data_2025_review_thoughtworks_employee_privacy_notice_page30_ta
[2026-03-08T04:38:55.316+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 22 rows from data_2025_review_thoughtworks_employee_privacy_notice_page31_ta
[2026-03-08T04:38:55.326+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 16 rows from data_2025_review_thoughtworks_employee_privacy_notice_page32_ta
[2026-03-08T04:38:55.336+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 1 rows from data_2025_review_thoughtworks_employee_privacy_notice_page33_ta
[2026-03-08T04:38:55.346+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_2025_review_thoughtworks_employee_privacy_notice_page34_ta
[2026-03-08T04:38:55.356+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page35_ta
[2026-03-08T04:38:55.366+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page36_ta
[2026-03-08T04:38:55.378+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_2025_review_thoughtworks_employee_privacy_notice_page37_ta
[2026-03-08T04:38:55.395+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 6 rows from data_8051_features_architecture_page3_table1
[2026-03-08T04:38:55.411+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 8 rows from data_customers
[2026-03-08T04:38:55.426+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc10_research_data_page2_table1
[2026-03-08T04:38:55.438+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 5 rows from data_doc10_research_data_page2_table2
[2026-03-08T04:38:55.450+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_data_page3_table1
[2026-03-08T04:38:55.460+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_1
[2026-03-08T04:38:55.470+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_2
[2026-03-08T04:38:55.480+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc10_research_dataaaaaa_table_3
[2026-03-08T04:38:55.491+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1111_table_1
[2026-03-08T04:38:55.501+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1111_table_2
[2026-03-08T04:38:55.511+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1111_table_3
[2026-03-08T04:38:55.521+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1_sales_report_table_1
[2026-03-08T04:38:55.534+0000] {embedding_pipeline.py:236} INFO - [embed] Queued 4 rows from data_doc1_sales_report_table_2
